asin,content,date,rate,reviewer,title
B07X1NCBS8, 'bI bought this lamp as decoration and it is so nice! It is exactly as pictured and I think it looks great in my home. It comes unassembled but there is a small instruction sheet which makes assembly so easy. I think it took me about 10 minutes to put together. I bought it about one month ago and it has been working perfectly. The light bulb wasn't included but it is easy to buy one anywhere at a cheap price so that is no problem. It also has 2 USB ports so you can plug in chargers or anything you like. ,"Reviewed in Canada on November 15, 2019",5,Ashley S., 'Beautiful lamp' 
B07X1NCBS8," 'bIt's exactly as shown. Nice weight, and done up in beautiful glass, NO plastic. My only concern is keeping that shade clean and shiny, as I live in a dusty city environment. Other than this, I highly recommend these lamps. Absolutely stunning, and really makes a statement. If anyone knows how to safely clean these lamp shades without hooking the crystals I'd love to hear about it. ","Reviewed in Canada on February 8, 2020",5,Amazon Customer, 'A fabulous crystal lamp shade' 
B07X1NCBS8, 'This lamp is so pretty and elegant. It has added a new modern look to my room. The lamp quality is amazing and the crystals are very Shinny. It has two USB charging ports and one outlet. The charging ports are very useful to charge the mobile while lying on the bed. This can also be used as a beautiful gift for house warming. Great lamp.' ,"Reviewed in Canada on October 29, 2019",5,Sana Raheel, 'Awesome lamp' 
B07X1NCBS8," 'Love this !!'The look - the style - the size - the price - very impressed. I can t say anything bad about this it s perfect and my fav lamp!!'I live that there s 3 different options for cords- I can charge my phone,my husbands phone and the tablet all @ once and without having to blindly use the outlet behind the bed. It s beautiful and I m very glad I got this !!' ","Reviewed in Canada on January 17, 2020",5,Jessica, 'Looks beautiful-love the options for plug ins on the actual lap!!' 
B07X1NCBS8," 'Absolutely loved my lamp so elegant, beautiful And functional.Its heavy so I know it s not a cheap version and has the plugs to connect my phone or iPad.Bought it for my nursery but I will be getting 2x more for my bedroom.Excellent product very satisfied.' ","Reviewed in Canada on February 16, 2020",5,Amazon Customer, 'Functional and beautiful lamp' 
B07X1NCBS8, 'I thought for the price it would be a little heavier.' ,"Reviewed in Canada on January 13, 2020",3,Cecilia I., 'Not a bad lamp but don t find it worth 50.00' 
B07X1NCBS8," 'I like this lamp , it s a great light for where and what I needed . Came on time well packaged and I expected to have to put on the crystals and did so easily' ","Reviewed in Canada on January 18, 2020",5,buckeyecanuck, 'Nice lamp' 
B07X1NCBS8, 'Makes a nice addition to your decor. Easy and quick to put together. Charges devices quickly. Crystals make light seem brighter. Would recommend!' ,"Reviewed in Canada on October 27, 2019",5,Sophia , 'Modern lamp with a quaint antique look.' 
B07X1NCBS8, 'Love them and use the USB every night to charge my phone and twice a week to charge the iPad as well. Great idea.' ,"Reviewed in Canada on March 13, 2020",4,Monette Arsenault, 'Beautiful and useful' 
B07X1NCBS8, 'Lamp socket tabs broke off when tightening costs more to send back . Just ordered another one.' ,"Reviewed in Canada on February 22, 2020",3,Amazon Customer, 'Poor quality would not suggest buying' 
B07X1NCBS8, 'N/A' ,"Reviewed in Canada on January 28, 2020",5,Tim Herdman, 'N/A' 
B07X1NCBS8," '1. Assembly is easy and it takes less than 60 secs. You won t have to follow the included instructions.'2. Lamp doesn t come with bulb. Also, it has no shade. So, standard light bulb would be too bright for eyes. You will need use it with some fancy/vintage light bulb.'3. It is about 1.5 feet tall.'4. Plug in cord has on/off switch for the lamp. So, it makes little harder to turn it on/off. I wish they have put on/off switch on the lamp base or body.'5. It is a metal lamp and it looks very robust.'bI would rate this 4 stars if the switch wasn't so far from the lamp - its over 2 feet away. So if this is on a bedside table or side table by your couch - the switch will be near the floor at the back of the table.bTHe best case scenario would be to put a decorative Wifi Bulb in there and leave it on - But I shouldn't have to buy a 20 dollar lightbulb for a value oriented fixture. ","Reviewed in Canada on January 15, 2020",3,Alex Sudz, 'Room for improvement - Switch on the cord is much to far from base.' 
B07X1NCBS8," 'This is an eye catching lamp which is nicely priced and doubles as a conversation piece. I had no issue with any of the machined parts not fitting/screwing together properly and it was assembled in minutes. You don t really need the instructions to put this item together and this is a good thing since they are definitely lacking. I bought this Edison bulb (https://www.amazon.ca/gp/product/B07QC556HB/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1) and when combined with the lamp, gives a great industrial look. Like the other lamp I have from this company (https://www.amazon.ca/gp/product/B07ZYZG62H), my only complaint is that it is very bright, even with the 2300k/40w equivalent bulb. With no shade, you want to be careful where you place the lamp. An included dimmer on the cord would be nice in a future update so you can adjust the brightness and change the mood. Even with the brightness issue, I don t feel it is fair to take off a full star, so I am giving it a 5-star rating. In order to get more control over the brightness, I paired it with this dimmer switch (https://www.amazon.ca/gp/product/B07GFQ8PBV/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1) and am extremely pleased with the final result.'Recommended!'Good luck with your decision/purchase.' ","Reviewed in Canada on January 8, 2020",5,J Spig, 'Great looking lamp!' 
